Ticker,Feature_Set,Accuracy,Precision,Recall,F1
^N225,Set1,0.5062146892655367,0.5248447204968945,0.5498915401301518,0.5370762711864406
^N225,Set2,0.4915254237288136,0.5123595505617977,0.4945770065075922,0.5033112582781457
^N225,Set3,0.5186440677966102,0.5364963503649635,0.5580260303687635,0.5470494417862839
^N225,Set4,0.49491525423728816,0.5151843817787418,0.5151843817787418,0.5151843817787418
^TOPX,Set1,0.5145833333333333,0.5354430379746835,0.5602649006622517,0.5475728155339806
^TOPX,Set2,0.5114583333333333,0.5327816677275621,0.5543046357615894,0.5433300876338851
^TOPX,Set3,0.5041666666666667,0.5263496143958869,0.5423841059602649,0.5342465753424658
^TOPX,Set4,0.5055555555555555,0.5275288092189501,0.5456953642384106,0.5364583333333334
7203.T,Set1,0.507563025210084,0.5071005917159763,0.48092031425364756,0.4936635944700461
7203.T,Set2,0.49047619047619045,0.48951841359773374,0.48484848484848486,0.4871722582464054
7203.T,Set3,0.5184873949579832,0.518282066163668,0.5011223344556678,0.5095577746077032
7203.T,Set4,0.4910364145658263,0.49019607843137253,0.4910213243546577,0.49060835435940564
6758.T,Set1,0.49859943977591037,0.48891415577032404,0.49114791547687037,0.49002849002849
6758.T,Set2,0.5008403361344538,0.4915806626833243,0.5168475157053113,0.5038975501113586
6758.T,Set3,0.5067226890756302,0.4970202622169249,0.4762992575671045,0.4864391951006124
6758.T,Set4,0.49299719887955185,0.48421615837346177,0.5168475157053113,0.5
9434.T,Set1,0.5094017094017094,0.5238095238095238,0.5116279069767442,0.5176470588235295
9434.T,Set2,0.5051282051282051,0.517503805175038,0.5647840531561462,0.5401111993645751
9434.T,Set3,0.49914529914529915,0.5129032258064516,0.5282392026578073,0.5204582651391162
9434.T,Set4,0.5316239316239316,0.538135593220339,0.632890365448505,0.5816793893129771
8306.T,Set1,0.5028011204481793,0.4837889383343929,0.441415313225058,0.4616317864725508
8306.T,Set2,0.5005602240896359,0.48197923029932804,0.4576566125290023,0.4695031240702172
8306.T,Set3,0.4980392156862745,0.47853535353535354,0.4396751740139211,0.45828295042321643
8306.T,Set4,0.5061624649859944,0.4866346812885538,0.41183294663573083,0.4461200125667609
6501.T,Set1,0.5106442577030812,0.5127020785219399,0.49581239530988275,0.5041158103888731
6501.T,Set2,0.5022408963585434,0.504320987654321,0.45616973757677276,0.4790384051597772
6501.T,Set3,0.5014005602240896,0.5030606566499721,0.5047459519821329,0.5039018952062431
6501.T,Set4,0.4938375350140056,0.49503722084367247,0.4455611390284757,0.4689979429914781
6861.T,Set1,0.507563025210084,0.5108756274400447,0.5097384529771842,0.5103064066852367
6861.T,Set2,0.4969187675070028,0.5002842524161455,0.48970506399554814,0.4949381327334083
6861.T,Set3,0.492436974789916,0.4956921309592188,0.4802448525319978,0.4878462408140192
6861.T,Set4,0.5,0.503562945368171,0.47189760712298273,0.48721631715024416
6098.T,Set1,0.5141552511415525,0.5416666666666666,0.5276338514680483,0.5345581802274716
6098.T,Set2,0.508675799086758,0.5359649122807018,0.5276338514680483,0.5317667536988686
6098.T,Set3,0.502283105022831,0.5299823633156967,0.5189982728842832,0.5244328097731239
6098.T,Set4,0.5200913242009132,0.5484162895927602,0.5233160621761658,0.5355722492266902
9983.T,Set1,0.48599439775910364,0.49623250807319697,0.5063152114222954,0.5012231584669747
9983.T,Set2,0.5086834733893557,0.519044911881751,0.5013728720483251,0.5100558659217878
9983.T,Set3,0.4980392156862745,0.5078251484079871,0.5167490389895661,0.512248230811105
9983.T,Set4,0.5056022408963585,0.5152173913043478,0.5205930807248764,0.517891286533734
9432.T,Set1,0.5019607843137255,0.5199550309162451,0.5002704164413196,0.5099228224917309
9432.T,Set2,0.5072829131652661,0.5280898876404494,0.45754461871281776,0.4902926687916546
9432.T,Set3,0.4955182072829132,0.5137299771167048,0.4856679286100595,0.4993049763691966
9432.T,Set4,0.492436974789916,0.5117014547754586,0.43753380205516496,0.4717201166180758
